,type,id,name,stationDHID
0,stop,900037168,"Berlin, Albrechtshof Bhf",de:11000:900037168
1,stop,900029305,"Berlin, Staaken Bhf",de:11000:900029305
2,stop,900180008,Bahnhofstr./Lindenstr. (Berlin),de:11000:900180008
3,stop,900180009,Bahnhofstr./Seelenbinderstr. (Berlin),de:11000:900180009
4,stop,900170011,Barnimplatz (Berlin),de:11000:900170011
5,stop,900170010,Betriebshof Marzahn (Berlin),de:11000:900170010
6,stop,900170524,Brodowiner Ring (Berlin),de:11000:900170524
7,stop,900171517,Boschpoler Str. (Berlin),de:11000:900171517
8,stop,900100041,Brunnenstr./Invalidenstr. (Berlin),de:11000:900100041
9,stop,900140506,Behaimstr. (Berlin),de:11000:900140506
